id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Horizon,Orchid Phase,classical,calm,0.24,68,0.52,0.18,0.94
12,Funky Footwork,Blue Circuit,funk,upbeat,0.67,116,0.79,0.86,0.21
13,Iron Pulse,Static Crown,metal,aggressive,0.95,168,0.34,0.57,0.04
14,Golden Hour Soul,Marrow Lane,soul,warm,0.58,98,0.87,0.63,0.47
15,Neon Skies,Pixel Bloom,edm,euphoric,0.89,128,0.74,0.91,0.09
16,Backroad Lanterns,Juniper Wells,country,reflective,0.46,86,0.68,0.49,0.33
17,Midnight Mercado,Luna Sol,reggaeton,playful,0.84,102,0.72,0.89,0.12
18,Autumn Letters,Maple Thread,folk,nostalgic,0.33,74,0.61,0.44,0.83
